Zones,District,Development Regions,Tourist places,Places names,Details
Bagmati,Rasuwa,Central,8," Ganesh Himal, Langtang range, Gosaikunda,Tato Pani ,Langtang National Park, Trishuli, Bhotekoshi,Rasuwagadhi",
Bagmati,Sindhupalchok,Central,6,"Gaurati Bhimeshwar temple,Bhairav Kunda ,Panch-Pokhari , Langtang National Park, Langtang Himal, Jugal Himal",
Janakpur,Dhanusa,Central,5,"Dhanush Sagar, Ganga Sagar,Janaki Temple(Naulakha Durbar-the nine lakh temple), Dhanusadham,Ram Mandir ",
Janakpur,Dolakha,Central,7,"Sunkoshi, Tama Koshi, Bhote Koshi , Garui-Shanker,  Tsho Rolpa Lake, Saya Thumka Hill,Dolakha Bhimsen,Kalinchowk Bhagwati Temple ",
Janakpur,Mahottari,Central,3,"Jaleswor Mahadev, Matihani, Sona Maisthan",
Janakpur,Ramechhap,Central,8,"Tamakoshi,Likhu, Khimti,Dudh Kunda,Pathibarra,Jatapokhari,Panch Pokhari,Gaurighat Cave",
Janakpur,Sarlahi,Central,5,"Jungamukteswar Mahadev,Deval Baba,  Madanpur Math, Pattharkot, Nunthar Pahad ",
Janakpur,Sindhuli,Central,6,"Siddababa Temple(Gadhi),Rani Durbar,Siddababa Temple(Chayoukot),Bhadrakali Temple,Sindhuli Gadhi, Kashiram Falls",
Narayani,Bara,Central,2, Gadhimai Temple Nijgarh,
Narayani,Makwanpur,Central,2,"Makwanpur Gadhi,Bhutendevi temple",
Narayani,Parsa,Central,2,"Parsa Wildlife Reserve,Parsagadhi temple",
Narayani,Rautahat,Central,5,"Ramchuwa Parbat,Gudibela Garden,Purnewa Darbar",
Narayani,Chitawan,Central,9,"Chitwan National Park,Bish Hazari lake,Devghat,Diyalo Bangala Palace,Jalbire,Meghauli,Chiraichuli Hill,Ranipokhari,Upardanghari fort ",
Koshi,Bhojpur,East,3,"Ghoretar,Balankha,Taalkharka ",
Koshi,Dhankuta,East,6,"Arun Valley,Tamor ,Arun River,Rani Ban, Jalpa Devi Temple,Pathivara Devi Temple",
Koshi,Morang,East,6," Koshi Tappu Wildlife Reserve,Koshi Barrage,Tinjure,Sapta Koshi River,Kali Mandir, Birateswar",
Koshi,Sankhuwasabha,East,9," Varun, Piluwa,Makalu,Chamlang,Namase, Milke Jaljale Rhododendron Area,Makalu Barun National Park, Siddhakali Temple, Kabeli ",
Koshi,Sunsari,East,8,"Charkose Jhadi, Bijaypur Dada, Suli area, Saguri Bhanjyang, Machamara Dada,Pindeshwar, Buda Subbha, Pancha Kanya ",
Koshi,Terhathum,East,3,"Hyatrung Waterfall,Tinjure Hill,Singhabahini Temple",
Mechi,Ilam,East,5,"Mai Pokhari lake,Gajurmukhi,Mane Bhanjyang,Ilam Bazaar,Charkhol rivers",
Mechi,Jhapa,East,6,"Kechanakalan, Jamunkhadi Simsar, Kankai Mai,Birat Pokhar, Arjundhara, Chandragadi- fort ",
Mechi,Panchthar,East,4,"Chiya Bhanjyang,Phalut,Tal Danda,Singalila",
Mechi,Taplejung,East,5,"Pathibhara Devi Temple,Mount Kanchenjunga,Kanchenjunga Conservation Area,Waterfall at Sawa,Timbung Pond",
Sagarmatha,Khotang,East,4,"Basaha Gupha,Sunkoshi , Dudh Koshi Rivers,Halesi Mahadev",
Sagarmatha,Okhaldhunga,East,8," Pokali, Lipu, Patle, Sepli, Dhikure,Chameru Gufa,Shree Champadevi Temple,Okhaldhunga gadhi",
Sagarmatha,Saptari,East,4,"Koshi Tappu Wildlife ,Sapta Koshi River,Chhinna Masta Mandir,Kankalini Temple",
Sagarmatha,Siraha,East,3,"Taregna Jungle,Kamala River,Salhesh Mandir",
Sagarmatha,Solukhumbu,East,7,"Sagarmatha National Park,Namche Bazaar,Gokyo ,Khumjung,Tengboche,Pangboche,Lukla",
Sagarmatha,Udayapur,East,4,"Tribeni,Rauta,Chaudandigadhi Durbar,Koshi Tappu",
Mahakali,Baitadi,Far-Western,2,"Tripurasundari Temple,Ninglasaini Bhagawati Temple",
Mahakali,Dadeldhura,Far-Western,3,"ugratara temple,Ajaymerukot,Amargadi fort",
Mahakali,Darchula,Far-Western,2," Brhamdah taal,Api Nampa Conservation Area",
Mahakali,Kanchanpur,Far-Western,6,"Shuklaphanta Wildlife Reserve ,Jhilmila Lake, Bedkot Lake, Bandatal, Vishnu Temple, Ranital ",
Seti,Achham,Far-Western,5,"Mangalsen, Jayagadh, Gajara, Ramaroshan, Binayak",
Seti,Bajhang,Far-Western,4,"Seti River , Bauli Gaad,Saipal Himal,Sankhamala Himal",
Seti,Bajura,Far-Western,3,"Khaptad Lake,Jiulekmandu temple, Badimalika temples",
Seti,Doti,Far-Western,2,"Shaileshwari temple, Karnali river",
Seti,Kailali,Far-Western,4,"Godabari,Karnali Bridge,Khani Dada,Godha-Ghodi Tal lake",
Bheri,Banke,Mid-Western,3,"Banke National Park, Bardiya National Park,Bageswory Temple",
Bheri,Bardiya,Mid-Western,4,"Bardiya National Park, Siwalik Hills, Chisapani, Karnali river",
Bheri,Dailekh,Mid-Western,3,"Singhdevi, Siloti, Gupteswor",
Bheri,Jajarkot,Mid-Western,3,"Bat cave,Shiva Temple,Thulo Darbar",
Bheri,Surkhet,Mid-Western,4,"Bulbul Tal,Deauti Bajai temple, Kakre Bihar temple,Gothikada hillside",
Karnali,Dolpa,Mid-Western,5,"Shey Phoksumdo National Park,Shey Monastery, Kanjiroba,Putha Hiunchuli, Mukot ",
Karnali,Humla,Mid-Western,5,"Limi Upatyaka,Gupteswor Mahadev",
Karnali,Jumla,Mid-Western,3,"Basi Malika temple,Chere Chaur, Patmara Lek",
Karnali,Kalikot,Mid-Western,2,"Tila River ,Panchal fall ",
Karnali,Mugu,Mid-Western,2," Rara National Park,Gamgadhi",
Rapti,Dang,Mid-Western,4,"Purandhara waterfall, Jakheda Taal,Ambiksewari Temple,Hungseshowr Shiva Mandir",
Rapti,Pyuthan,Mid-Western,4,"Lungko Dewali, Rameshowr Mahadev Temple, Khalanga Ganesh Temple, Swargadwari Temple",
Rapti,Rolpa,Mid-Western,4,"Jaljala,Kalika Devi, Devi , Khadga temple",
Rapti,Rukum,Mid-Western,6,"Mount Sisne,Rukumimi Tal, Deurali Cave, Jirjire Falls,Baraha, Sibalaya,",
Rapti,Salyan,Mid-Western,4,"khalanga,Sishne Himal,Siva Temple, Devi Temple",
Gandaki,Gorkha,West,7,"Manaslu conservation Area,Manakamana Temple,Gorakhnath,Gorkha Kingdom,Dhike Dada,Dhurkot's Bichitra Cave, Kalchuman Lake",
Gandaki,Kaski,West,15," Annapurna Conservation Area , Machaphuchre, Fewa Lake, Mahendra Cav,Bindabasini temple, Tal Barahi,Begnas Lake,Patale Chhango,Bindhabasini Temple,Sarangkot ,Panchase Chhetra,Seti River,Gupteshwar Cave, Rupa Lake, World Peace Stupa",
Gandaki,Lamjung,West,3,"Bhujung,Ghalegaun, Kaulepani",
Gandaki,Manang,West,5,"Tilicho Lake,Manang Valley,Annapurna , Gangapurna,Gompa",
Gandaki,Syangja,West,4,"Adhi Khola , Rakta Taal,Changchangdi Holy Place,Rajasthal Palace",
Gandaki,Tanahu,West,5,"Siddha Gufa,Pancha mandir,Vyash gufa,Teen Khole Devi Mandir,Khadga Devi Mandir",
Lumbini,Kapilbastu,West,7,"Tilaurakot Fort,Gotihawa,Araurakot,Kundan,Niglihawa,Sagarhawa,Lumbini Garden",
Lumbini,Arghakhanchi,West,5,"Siwalik Hill,Supa Deurali Temple, Argha, Chhatraganj Temple,Sano Gaun",
Lumbini,Gulmi,West,8,"Reshunga Lake, Thaple Lake, Padiko Lake,Raniban Lake,Dhurkot's Bichitra Cave,Resunga Hill,Thaghas Vagawati Mandir ,Siddhababa Mandir",
Lumbini,Nawalparasi,West,5," Devchul,Ramgram Stupa,Shivapurgadhi,Panditpur Archeological site,Ancient Well",
Lumbini,Palpa,West,9,"Argeli Palace,plapa forts,Ramdi ,Ranighat Palace ,Rishikesh Temple ,Tansen,Shrinagar Hill,Madanpokhara,Vhairabsthan Temple",
Lumbini,Rupandehi,West,12,"Chitwan National Park,Tinau River,Gaidahawa lake ,Sukaiiya lake,Gajedi lake,Nawa Durga Bhawani Mandir,Lumbini Area,Siddha Baba Mandir,Satiya Mai Mandir,Manimukunda Sen Park,Tribeni Ghat,Ramagrama",
